Job Title,Company Name,Location,Required Skills,Post Date and Time,More Info
Wordpress Developer,EBPearls,Lalitpur,"Jquery, Css, Javascript, Html5, Sass","April 5, 2021, 11:55 p.m.",https://merojob.com/wordpress-developer-218/
iOS Developer,EBPearls,Kandevsthan,"Cocoa, Touch, Coredata, Orm, And, Rdbms","April 5, 2021, 11:55 p.m.",https://merojob.com/ios-developer-108/
Node.js Developer,EBPearls,"Lalitpur, Nepal","Angular, Communication, Analytical, Vue.Js, Nosql","April 5, 2021, 11:55 p.m.",https://merojob.com/nodejs-developer-36/
Senior Software Engineer,HLE Nepal,"Jawalakhel,Lalitpur","Javascript, React, Angular, Node.Js, Python","March 30, 2021, 11:55 p.m.",https://merojob.com/senior-software-engineer-47/
International Executive Chef,Executive Search- merojob,Kathmandu,NULL,"April 1, 2021, 12:55 a.m.",https://merojob.com/international-executive-chef-3/
Head Pizza Chef / Sous Chef,Executive Search- merojob,Kathmandu,NULL,"April 1, 2021, 12:55 a.m.",https://merojob.com/head-pizza-chef-sous-chef/
Loan Processing Specialist (LPS),HLE Nepal,"Jawalakhel, Patan, Central Development Region, Nepal","Data, Entry, Communication, Time, Management, Problem, Solving, Customer, Service","April 21, 2021, 11:55 p.m.",https://merojob.com/loan-processing-specialist-lps-11/
Receptionist,NULL,Sinamangal Kathmandu,"Interpersonal, Administration, Communication, Computer, Operation, Accounting","March 31, 2021, 5:35 p.m.",https://merojob.com/receptionist-1403/
Sales Support Specialist,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","Interpersonal, Attention, To, Detail, Time, Management, Customer, Service, Verbal, Communication","April 11, 2021, 11:55 p.m.",https://merojob.com/sales-support-3/
Loan Processing Specialist - Ou…,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","Data, Entry, Communication, Problem, Solving, Customer, Service, Attention, To, Details","April 3, 2021, 11:55 p.m.",https://merojob.com/loan-processing-specialist-outsourcing-6/
Front-Desk Officer,Broadway Infosys Nepal,"Tinkune, Kathmandu","Communication, Time, Management, Data, Entry, Customer, Service, Ms-Office","March 31, 2021, 11:55 p.m.",https://merojob.com/front-desk-officer-778/
Senior Dot Net Developer,Websutra Information Technology,Kathmandu,"Angular, Ms-, Sql, Framework, Java, Script","April 9, 2021, 11:55 p.m.",https://merojob.com/senior-dot-net-developer-15/
Office Secretary,NULL,Kupondol,"Data, Entry, Interpersonal, Communication, Ms-Office","April 5, 2021, 11:55 p.m.",https://merojob.com/office-secretary-278/
Web Designer,Broadway Infosys Nepal,"Shriganesh Marg, Subidhanagar, Tinkune, Kathmandu 44600, Ne…","Ui/Ux, Creative, Thinking, Communication, Web, Design","April 5, 2021, 11:55 p.m.",https://merojob.com/web-designer-ui-ux-designer/
Digital Marketing,Techtronix Nepal,Kathmandu,"Project, Management, Multitasking, Html, Css, Javascript","April 10, 2021, 11:55 p.m.",https://merojob.com/digital-marketing-25/
Full Stack Developer,Aqore Software,New Baneshwor,"Angular, Asp.Net, Core, Ms, Sql, Server","April 10, 2021, 11:55 p.m.",https://merojob.com/full-stack-developer-53/
Content Writer,Techtronix Nepal,Lazimpat,"Communication, Proofreading, Search, Engine, Optimization, (Seo)","April 10, 2021, 11:55 p.m.",https://merojob.com/content-writer-321/
Receptionist,Sunera Nepal,"Kathmandu, Nepal","Interpersonal, Communication, Multitasking, Time, Management","April 8, 2021, 11:55 p.m.",https://merojob.com/receptionist-1411/
Document Controller,Sunera Nepal,"Kathmandu, Nepal","Management, Communication, Photoshop, Administration","April 8, 2021, 11:55 p.m.",https://merojob.com/document-controller-14/
Accountant,Sunera Nepal,"Kathmandu, Nepal","Multitasking, Time, Management, Analytical, Microsoft, Office, Suite, Accounting","April 8, 2021, 11:55 p.m.",https://merojob.com/female-accountant-2/
SEO Intern,Hansikar Technologies,"Shantinagar, Kathmandu","Marketing, Html, Css, Management, Wordpress","April 6, 2021, 11:55 p.m.",https://merojob.com/seo-intern-2/
Manager - Audit & Consulting Fi…,Bajgai & Associates,Kathmandu,"Interpersonal, Communication, Time, Management, Taxation, Accounting","April 7, 2021, 11:55 p.m.",https://merojob.com/ca-audit-and-compliance-manager/
Network Administrator / Engineer,International Organization,kathmandu,"Technical, Support, Network, Cabling, Software, /, Hardware, Repair, Software, Installation, Computer, Repair","April 4, 2021, 11:55 p.m.",https://merojob.com/network-administrator-26/
Senior QA Engineer,Altigen Communications Inc.,Kathmandu,".Net, C#, Voip, Python, Software, Quality, Assurance, Automation, Script","April 22, 2021, 11:55 p.m.",https://merojob.com/senior-qa-engineer-18/
Senior Research and Development…,Altigen Communications Inc.,Kathmandu,"Asp.Net, Core, Sql, Restful, Api, .Net, C#, Azure","April 22, 2021, 11:55 p.m.",https://merojob.com/senior-research-and-development-engineer/
Senior Software Engineer,Altigen Communications Inc.,Kathmandu,"Asp.Net, Core, Sql, Restful, Api, .Net, C#, Azure","April 22, 2021, 11:55 p.m.",https://merojob.com/sustaining-applications-engineer-2/
IT Marketing Executive,Avishkaram Technologies,"Putali Sadak, Kathmandu","Wordpress, Communication, Writing, Marketing","April 4, 2021, 11:55 p.m.",https://merojob.com/it-marketing-executive-2/
Sr. Net Developer,Avishkaram Technologies,"Putali Sadak, Kathmandu",Asp.Net,"April 4, 2021, 11:55 p.m.",https://merojob.com/sr-net-developer-15/
Housekeeping Executive,NULL,Thamel,"Communication, Customer, Relationship, Management, Customer, Service","April 3, 2021, 11:55 p.m.",https://merojob.com/housekeeping-executive-11/
Chef,NULL,Thamel,"Management, Communication, Customer, Service, Multitasking, Time, Management","April 3, 2021, 11:55 p.m.",https://merojob.com/chef-111/
Front Office Executive,NULL,"Thamel,ktm","Management, Communication, Data, Entry, Interpersonal","April 3, 2021, 11:55 p.m.",https://merojob.com/front-office-executive-48/
F & B Manager,NULL,Thamel,"Management, Communication, Multitasking, Time, Management","April 3, 2021, 11:55 p.m.",https://merojob.com/f-b-manager-33/
Sales Officer,Raman General,Kathmandu and Butwal,"Behavioral, Business, Intelligence, Customer, Service, Negotiation","April 2, 2021, 11:55 p.m.",https://merojob.com/sales-officer-565/
F&B Service Assistant,Evoke cafe & bistro,Jhamsikhel,"Customer, Service, Communication, Multitasking, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/food-beverage-services-waiter-waitress/
Jr. Accountant,Pick N Drop,"Sankhamul Planning, Lalitpur","Administration, Communication, Taxation, Analytical, Accounting","April 5, 2021, 11:55 p.m.",https://merojob.com/jr-accountant-18/
Content Development Manager,Eduki Pvt. Limited,"Jwagal, Lalitpur","Science, Communication, Pedagogy, Education, Mathematics","April 5, 2021, 11:55 p.m.",https://merojob.com/content-development-manager/
Staff Nurse,Bhotewodar Hospital,"Sundarbazar Municipality 09, Lamjung","Interpersonal, Communication, Multitasking, Problem, Solving","April 5, 2021, 11:55 p.m.",https://merojob.com/staff-nurse-162/
CMA,Bhotewodar Hospital,Nepal,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/cma-15/
MDGP,Bhotewodar Hospital,Nepal,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/mdgp-21/
ANM,Bhotewodar Hospital,Nepal,"Interpersonal, Communication","April 5, 2021, 11:55 p.m.",https://merojob.com/anm-13/
Health Assistant,Bhotewodar Hospital,Nepal,"Interpersonal, Communication, Multitasking","April 5, 2021, 11:55 p.m.",https://merojob.com/health-assistant-41/
Senior Content Strategist,Zookti,Anamnagar,"Digital, Marketing, Proofreading, Communication, Content, Writing, Content, Development","April 2, 2021, 11:55 p.m.",https://merojob.com/senior-content-strategist-2/
Software Engineer,Readytowork,"Shankhamul - 22, Lalitpur","React, Node.Js, Golang, Python","April 2, 2021, 11:55 p.m.",https://merojob.com/software-engineer-120/
Senior Software Engineer,Readytowork,"Shankhamul - 22, Lalitpur","React, Angular, Node.Js, Golang, Python","April 2, 2021, 11:55 p.m.",https://merojob.com/senior-software-engineer-48/
IT Support Officer,ACFE,Work From Home,NULL,"April 1, 2021, 11:55 p.m.",https://merojob.com/it-support-officer-9/
Java Developer,Booleant Services,"Maitidevi, Kathmandu Nepal",NULL,"April 1, 2021, 11:55 p.m.",https://merojob.com/java-developer-130/
Store Manager (Trainee),Shop @ Kaya Store,"Ghattekulo, Kathmandu","Interpersonal, Public, Relations, Management, Computer, Operation, Accounting","April 1, 2021, 11:55 p.m.",https://merojob.com/store-manager-trainee-3/
Marketing Officer,NULL,Balaju,"Marketing, Customer, Relationship, Management, Communication, Customer, Service, Sales","March 30, 2021, 11:55 p.m.",https://merojob.com/marketing-officer-1079/
Field Assistant - Green Energy …,Aeloi,"Kathmandu, Nepal","Mobile, Application, Communication, Customer, Service, Computer","March 30, 2021, 11:55 p.m.",https://merojob.com/field-assistant-green-energy-mobility-project-3/
Graphic Designer,NULL,"Nagpokhari, Kathmandu, Nepal","Ad, Design, 2D, Designing, 3D, Designing, Vector, Illustration","March 30, 2021, 11:55 p.m.",https://merojob.com/graphic-designer-821/
Marketing Manager,NULL,"Kathmandu, Nepal",NULL,"April 6, 2021, noon",https://merojob.com/marketing-manager-629/
Marketing Executive,NULL,"Kathmandu, Nepal",NULL,"April 6, 2021, noon",https://merojob.com/marketing-executive-945/
Account Officer,NULL,"Soalteemode, Kathmandu",NULL,"April 6, 2021, noon",https://merojob.com/account-officer-419/
QAA Assistant,NULL,"Soalteemode, Kathmandu",NULL,"April 6, 2021, noon",https://merojob.com/qaa-assistant/
Office Helper,NULL,"Soalteemode, Kathmandu",NULL,"April 6, 2021, noon",https://merojob.com/office-helper-37/
भन्सार एजेन्ट,NULL,काठमाडौं,NULL,"April 18, 2021, noon",https://merojob.com/-4065/
महानिर्देशक,NULL,"थापाथली हाइट, काठमाडौं, नेपाल",NULL,"April 12, 2021, noon",https://merojob.com/-4064/
सहायक सूचक (रा.प.अनंकित चतुर्थ श्…,NULL,"बरफबाग, काठमाडौँ",NULL,"April 2, 2021, noon",https://merojob.com/-4063/
अनुसन्धान सहायक (रा.प.अनंकित द्वि…,NULL,"बरफबाग, काठमाडौँ",NULL,"April 2, 2021, noon",https://merojob.com/-4062/
अनुसन्धान अधिकृत (रा.प.तृतीय श्रे…,NULL,"बरफबाग, काठमाडौँ",NULL,"April 2, 2021, noon",https://merojob.com/-4061/
सूचना प्रविधि अधिकृत,NULL,"पुल्चोक ललितपुर, नेपाल",NULL,"April 10, 2021, noon",https://merojob.com/-4059/
Senior Producer,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/senior-producer/
Program Producer,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/program-producer-9/
Production Controller,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/production-controller/
Researcher,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/researcher-8/
Cameraperson (Outdoor),NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/cameraperson-outdoor/
Cameraperson (Studio),NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/cameraperson-studio/
Assistant Cameraperson (Studio),NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/assistant-cameraperson-studio/
Camera Archivist,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/camera-archivist/
Visual Editor,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/visual-editor-9/
Makeup & Hair Stylist,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/makeup-hair-stylist/
News Anchor,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/news-anchor-5/
News Producer (MCR),NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/news-producer-mcr/
Desk Editor,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/desk-editor-4/
Senior Reporter,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/senior-reporter-2/
Reporter,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/reporter-34/
Province Bureau Chief (Lumbini …,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/province-bureau-chief-lumbini-bagmati/
District Desk Coordinator,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/district-desk-coordinator/
District Desk,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/district-desk/
Stringer (for 77 District),NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/stringer-for-77-district/
Marketing Manager,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/marketing-manager-628/
Business Development Manager,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/business-development-manager-271/
Brand Officer,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/brand-officer-35/
Marketing & PR Officer,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/marketing-pr-officer/
Marketing Coordinator/ Scheduli…,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/marketing-coordinator-scheduling-officer/
Engineer & Technician (Control …,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/engineer-technician-control-room/
IT Support (Network & System),NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/it-support-network-system/
Social Media Handler,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/social-media-handler-3/
Electrician,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/electrician-68/
Finance Executive,NULL,"Baluwatar- 3, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/finance-executive-25/
हे.अ.,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4051/
स्टाफ नर्स,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4052/
अ.हे.ब.,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4053/
अ.न.मी.,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4054/
ल्याब असिष्टेन्ट,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4055/
रेडियोग्राफर,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4056/
फर्मासिस्ट,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4057/
कार्यालय सहयोगी,NULL,"दरबाङ, म्याग्दी",NULL,"April 10, 2021, noon",https://merojob.com/-4058/
कार्यालय सहयोगी,NULL,NULL,NULL,"April 8, 2021, noon",https://merojob.com/-4050/
सवारी चालक,NULL,NULL,NULL,"April 8, 2021, noon",https://merojob.com/-4049/
Primary School Teacher,NULL,"Dhapakhel, Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/primary-school-teacher-5/
Middle School Teacher,NULL,"Dhapakhel, Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/middle-school-teacher-4/
Secondary School Teacher,NULL,"Dhapakhel, Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/secondary-school-teacher/
A Level Teacher,NULL,"Dhapakhel, Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/a-level-teacher/
Plus Two Teacher,NULL,"Dhapakhel, Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/plus-two-teacher/
"Librarian, Office Secretary",NULL,"Dhapakhel, Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/librarian-office-secretary/
प्रमख लेखा अधिकत (Chief Account …,NULL,जोरपाटी,NULL,"April 10, 2021, noon",https://merojob.com/chief-account-officer-4/
प्रमुख कार्यकारी अधिकृत (Chief Ex…,NULL,जोरपाटी,NULL,"April 10, 2021, noon",https://merojob.com/chief-executive-officer-66/
Assistant Director- Few,NULL,Nepal,NULL,"April 23, 2021, noon",https://merojob.com/assistant-director-6/
शिक्षक,NULL,रामेछाप,NULL,"April 2, 2021, noon",https://merojob.com/-4048/
Hydro- Mechanical Engineer,NULL,"Dillibazar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/hydro-mechanical-engineer-4/
Billing/ Contract Engineer,NULL,"Dillibazar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/billing-contract-engineer/
Quality Control Engineer,NULL,"Dillibazar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/quality-control-engineer-26/
Civil Engineer,NULL,"Dillibazar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/civil-engineer-480/
Human Resource Manager,NULL,"Dillibazar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/human-resource-manager-113/
Admin In Charge,NULL,"Dillibazar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/admin-in-charge-3/
